Krenak,Portugues,Ortografia Alternativa,Notas,Fonte
rekró-nhó,ouriço,hecró-nhó,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
re-mot,"ferver, está f.","hä-mot, he-mot",,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
"re-mot, e-mot","cozinha, ele c.","hä-mot, aemot",,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
reng-reng,pica-pau,hen-hen,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
rening,voltar,renĩ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"ren-ren, ong gron",gemer,"hen-hen, aũ gh’rone",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
re-puk,"chorar, ele c.",hä-puck,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
‘re-reng,estar / está direito,ere-heĩ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
reron-thon,ananás,heron-tchone,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
re-róthá,pica-pau / p. pequeno,he-hótchá,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
‘ret net net,nhandaia,ret net net,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"ri-‘rang, e-‘rang","corar, ter vergonha","hä-ráng, erang","e breve, a palatal, ele enrubesce ou cora","Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
riereng,macaco,hieräng,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
rim,negro,hime,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
rim,sujo,hime,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
rim,preto,him,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
rim kunhâng,socar / s. café torrado,hime cunhâng,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"ri-mang, japikü",boca,"himpmã, japikýh",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
rimbru,ferrugem,himbrú,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ri-mpang,escápula,himpang,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ri-mpmá,lábio,himpmá,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ri-mpon,capivara,himpoũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ri-mpong jêk,maxilar / m. superior,himpoũ jek,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
‘rimung,levar,rimũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
rin má,rolha,hine máh,= tapa buraco,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ringenton,algodoeiro,ringhenton,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"‘rining, pirening",trazer,"rinĩ, pirenĩ",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ri-tung,coração,hätung,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
róg,que / q. é de?,hóg,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
rókmrẽng,anta,hóchmereng,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
"rokré, âkrê",onde,"hok’ré, âcrê",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
rok-rok nhom,garça,hok-hok nhôme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
rokuen,caititu,hok-uên,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ró-kueng,porco do mato (caitetu ou taitetu),hó-kuäng,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
rom thá rum,pegar / apoderar-se,hôme tchá húme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"‘ron, a-‘ron","longo, comprido","rône, arône",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ron-ron,carapinhé (ave de rapina),hon-hon,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ron-ron,gavião,hon-hon,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ron-ron jipakeju,gavião / g. penacho,hon-hon gipakejú,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
‘rorô,coco / c. miúdo (espécie),rôrô,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
roti anthun kanthan,alegre / você hoje está a.,oti antchune cantchane,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
roti jagü pim,já / j. sabes,oti jagy pime,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
roti jokon,bêbado / você já ficou b.?,oty jocone?,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
roti kon kuang ?,ter / tens?,Oti cone cuang ?,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
roti tan ampup né,pagar / quanto me paga?,Otý tan ampup néh?,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"roti, oti, ti",teu,"otei, oti, ti",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"roti, oti, ti",tu,"otei, oti, ti",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"roti, ti, oti",vós,"ti, oti, oteí",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"roum, raugâ",queimar,"hóume, haugâ",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ru,urrar (referente à onça),hú,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
ruh-ruh,calor / c. forte,hú-húh,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ruk inhep auan,montar,huk inhep avan,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
‘runu kuang,"donzela, virgem",runú cuang,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
rup-rup,distribuir,hup-hup,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
‘rurru,muito / bastante,ruhú,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ru-ru,quente / muito q.,hú-hú,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ru-ru brukukuk,sarampo,hú-hú brucucúk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
sauon,sabão,sauôn,vocábulo novo,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
tá,trouxa,táh,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
tâ,costela,tö,ö entre ö e ü,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
taiék,rio,taiäck,algo pelo céu da boca,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
taiék-má-jikaram,"rio, o r. é muito raso",taiäck-mah-gi- karám,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
taiék-mot-jikaram,"rio, o r. é muito fundo",taiäck-mot-gi- karam,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
taiék-ngimpung,rio (quando no período de maior cheia),taiäck- ngimpung,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
tajinthi,mirar,tagintchí,,"Frassetto (2018), Charles Frederick Hartt (1865–1866) "
takan,espinho,tacan,segundo a gutural,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
takruk,pedra,tacrúk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
takruk pen,"saraiva, chuva de pedra",tacruk pen,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
takruk umpâ,mica,tacruk umpâ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
tamon-rom,ilha,tamon-home,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
tan,"quão, quanto",tan,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
tang,lenço,tang,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
tang,"pisar, andar",tang,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
tang,saco,tang,a meio palatal,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
tang nhin-un jut,abrir / a. a camisa,tang nhinúne jut,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
tang-tang,"torcer / torto, retorcido",tang-tang,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"tanguá, taurrá",parecer,"tánguá, tauhá",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
tan-rup,cair,tan-rup,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
tâp,sereno,tâpe,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
tapang,"saco, sacola",tapang,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
tapaué,medir,tapawé,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
tap-rerak,"laço, laçada",tap-herac (?),,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
tarijan,estranho / estrangeiro loiro,tarijáne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
tarijan,italiano,tarijane,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
taru,céu,tarú,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
taru,lua,tarú,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
taru ampüm,"noite escura, n. alta",taru ampýme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
taru angrü,cantiga,tarú angrý,também significa a dança que acompanha o canto,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
taru anték,dançar,tarú anték,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"taru guknhung, taru aku",vento,"tarú guknhũ, tarú acú",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
taru jakiâm,tufão,tarú jakjâme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
taru mbruk,anuviado,"tarú ‘mbruk, V. Escurecido",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
taru mruk-mruk,noitinha,tarú m’ruc- m’ruc,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"taru nim, tempran nuk",hoje,"tarú nime, temprã nuk",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
taru tekrin,raio,tarú tecrĩ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
taru tekrün,trovoada,tarú tecrýn,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
taru tetu,noite,tarú tetú,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
taru tetu amjun,noite clara,tarú tetú am’júne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
taru timrê,relâmpago,tarú tím’rê,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"taru umpum, tupan jakiâm",trovão,"tarú umpúm, tupáne jakjâme",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
taru-di-pó,"sol, o.",tarú-di-pó,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
taru-jipakiu,lua cheia,tarú-gipakiú,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
taru-karapok,"lua, meia l.",tarú-carapock,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
taru-karapók- kudhi,"lua, quarto de l.",tarú-carapóck- cudgi,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
taru-mprang,ontem,taru-mprang,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
taru-nhép,"sol a pino, meio-dia",tarú-njëp,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
taru-nhon,"nuvem, nevoeiro",tarú-nion,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
taru-rim,lua nova,tarú-him,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
taru-tá-koung,trovão,taru-ta-coung,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
taru-tê-kurru,"vento, o.",tarú-te-cuhú,te pouco audível,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
taru-tê-kurru- pmerong,vento muito forte,tarú-te-cuhú- pmeróng,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
taru-tê-mren,relâmpago,tarú-te-merän,än como em francês,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
taru-temung,"tarde, pôr do sol",tarú-temung,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
taru-tê-mung,pôr do sol,tarú-te-mung,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
taru-tetu,noite,tarú-te-tú,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
tarut-kurru-am- nuk,calmaria,tarú-t-cuhú- amnúp,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
tât-neng,atrasar-se,teute-neĩ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
tatu,piau vermelho,tatú,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
téh-tâh,direito,täh-toh,ö entre ö e ä,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
tekuü-‘reuük,redemoinho,tecuý-reuýk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
tempran,amanhã,tempráne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
tempran nhing ning krê,vir / vim cá um dia,temprán nhik nĩ crê,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
tempran unthak,depois / d. de amanhã,temprán untchák,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
ten-tung-tung,amarrotar,tentũtũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
te-ong-ton-ton,"balbuciar, gaguejar",te-óng-ton-ton,te-óng pouco separados,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
tepó,sol,tepó,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
tepó jithá ambrukukuk,sol / o calor do s. queima,tepó gitchá ambrucucúk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
tepó kapet,chapéu / c. de sol,tepó capête,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
tepó kopó nhep,meio / m.-dia,tepó copó inhep,= o sol está no meio,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
tepó mung krak,poente,tepó mũ k’rak,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
tepó terrut,nascente,tepó tehút,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
terrü,em / e. pé,té-hý (?),,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"te-rut, kruk-tá",nascer,"te-hút, cruk-tá, V. Sair da casca",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
tetu,"escurecido, anuviado",tetú,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
tetu,navegar,tetú (?),,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
tetü,encostado,tetyh,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
tetu nhing ning,vir / vim tarde,tetú nhik nĩ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thá kuk,saracura,tchá cúk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"thá kuü kuük, thonkren thá, kâp mók mók",sabiá,"tchá cuy cuýk, choncrêne tchá, keup mók mók",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thak,até,tchak,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thak,sal,tchák,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thâk,frio / (adjetivo),tcheuk,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thak-nthang,esconder,tchak-ntchang (?),,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thakô,cinzas,tiáco,ti quase como ch,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
thaku,cinza,tchá-cú,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
tham,"escroto, saco escrotal",tchame,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
tham,testículo,tcháme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
tham untik,"capar, castrar",tcham’ untik,= arrancar os escrotos,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thang,sonhar,tchang,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thâ-reng-thin knhi,secar / s. carne,tcheu-heng- tchin knhĩ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"thau-thau, thu kun, matik",machucar,"tchau-tcháu, tchu cune, matík",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
them narran,homem / h. púbere,tchem’ nahan,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thembô,cebola,chembô,vocábulo novo,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thereng,macaco,tchereĩ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thik,descida,tchik,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thin,animal silvestre,"tchin, V. Bicho",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thin,"bicho, animal","tchin, V. animal silvestre",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thin,caça,tchin,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thin kat,correia,tchin cate,= couro de caça,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thin nhure nhin,isca,tchin nhúre nhine,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thin uam,carniça,tchin ũam,= carne fedorenta,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thin unkemong,alcoviteira,tchin unkemong (?),,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thin-brong,"bucho, estômago",tchin-broũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"thinguran, nhing tu kuang",fome,"tchinguráne, nhim’tú cuang (?)",o primeiro = desejo caça,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
"thinguran, nhin-tu kuang",estar / estou com fome,"tchingurane, nhim’tu cuang",,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thokan,marido,tjocane,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thom kuem,lenha,tchom’ cuem’,= pau morto,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thompék,fogo,tchompék,"= pau crepitante, aceso","Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thompék,fogo,chompäck,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
thompek ambruk,labareda,tchompek ambrúk,= luz do fogo,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thompek kuem,apagar / apagou-se o fogo,chompek cuéme,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thompek prom,braseiro,chompek prom,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thon,pau,tchône,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thon,árvore,tchoon,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
thon,cacete (bordão),tchoon,o mesmo que pau,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
thon,"pau, árvore",tchoon,,"Frassetto (2018), Maximilian zu Wied-Neuwied (1816)"
thon am taku-ü,mato / m. próximo,tchon’ am’ tacuý,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thon aprung,direito / pau d.,tchone aprũ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thon atâkuüp,"ponte, pinguela",tchone atâcuýp,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thon a-tang,quebrar / quebrou o pau,tchon’ atang,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thon dhun,espeto,tchone djúne,= ponta de pau,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thon e-tang,pau / p. caído,tchone etaĩ,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thon jât,árvore,tchone jeut,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thon jitak,raiz,tchone gitác,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thon jon,gravatá,tchon jon,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thon jun,chuço,tchone june,= bico de pau,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thon kat,canoa,tchon cate,= casca de pau,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thon kat atô,tirar / t. casca de pau,tchone cát atô,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thon kat ning praĩng,alcançar / a canoa vem a.- nos,tchon cate nĩ praĩg,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thon kat uhuk- uhuk im,agitar / a canoa agita-se,tchon cate uúk- uúk ime,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thon kat up-mun,dar / dei uma canoa,tchon cate up- mune,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thon ketam (thon nhi uin nhit),forcado,tchone ketame (tchone nhi uin nhite?),,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thon ki-tom,gancho,tchone ketome,= olhos de pau,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
thon kren,urucum,tchone crêne,,"Frassetto (2018), Claro Monteiro do Amaral (1898–1899) "
